Title,Conference
Universal Relation Views: A Pragmatic Approach,VLDB
Topological Design of the Wavelength-Division Optical Network,INFOCOM
Fully-digital Testability of a High-speed Conversion System,ISCAS
Improving the Throughput of Point-to-Multipoint ARQ Protocols through Destination Set Splitting,INFOCOM
Feature weighting in content based recommendation system using social network analysis,WWW
Neural network approach for estimation of load composition,ISCAS
Simulating Phase Noise in Phase-Locked Loops with a Circuit Simulator,ISCAS
Generic Schema Matching with Cupid,VLDB
An autozeroing floating-gate second-order section,ISCAS
Spreadsheets for images,SIGGRAPH
Achieving 100% Throughput in Reconfigurable Optical Networks,INFOCOM
Pseudo-Address Generation Algorithm of Packet Destinations for Internet Performance Simulation,INFOCOM
Piecewise smooth subdivision surfaces with normal control,SIGGRAPH
THE DESIGN OF THE POSTGRES STORAGE SYSTEM,VLDB
A Contextual Framework For Standards,WWW
Querying and Mining Data Streams: You Only Get One Look,VLDB
On the Behavior of Hubnet with Applications to Priority Implementation,INFOCOM
A floating-gate programmable array of silicon neurons for central pattern generating networks,ISCAS
Analyzing Transaction Activity to a Large Data Base: An Empirical Study,VLDB
Keynote talk,WWW
An Adaptive Neural Network VQ Algorithm and Its Implementation on the DSP32C Signal Processor,ISCAS
The story of computer graphics,SIGGRAPH
ViBE: virtual biology experiments,WWW
Architecture for source localization with a linear ultrasonic array,ISCAS
A convenient method for securely managing passwords,WWW
Input Queued Switches: Cell Switching vs. Packet Switching,INFOCOM
Interactive texture mapping,SIGGRAPH
Three-loop temporal interpolation for error concealment of MDC,ISCAS
An Assigned-Buffer ATM Switching Architecture,INFOCOM
Dynamic and Order Preserving Data Partitioning for Database Machines,VLDB
An interactive 3D toolkit for constructing 3D widgets,SIGGRAPH
Making RDF presentable: integrated global and local semantic Web browsing,WWW
Bandwidth Advertising for MAN/ATM Connectionless Internetting,INFOCOM
Very high speed Viterbi decoder with circularly connected analog CNN cell array,ISCAS
Dependant distance potential source algorithm for optimal path finding with the analogic CNN,ISCAS
SciPort: An Adaptable Scientific Data Integration Platform for Collaborative Scientific Research,VLDB
Design and Performance Analysis of a Dynamic Protocol Achieving User Fairness in High-Speed Dual-Bus Networks,INFOCOM
VLSI Implementation of an Associative Memory Using Temporal Relations,ISCAS
Effective Web data extraction with standard XML technologies,WWW
A Measurement-Based Loss Scheduling Scheme,INFOCOM
Collaborative location and activity recommendations with GPS history data,WWW
The future of virtual reality: head mounted displays versus spatially immersive displays (panel),SIGGRAPH
A Novel Server Selection Technique for Improving the Response Time of a Replicated Service,INFOCOM
Efficient moments extraction of large inductively coupled interconnection networks,ISCAS
Efficient Access of Compressed Data,VLDB
OBK - An Online High Energy Physics' Meta-Data Repository,VLDB
AgFlow: Agent-based Cross-Enterprise Workflow Management System,VLDB
Computer modelling of fallen snow,SIGGRAPH
Towards Tailoring Protocols to Application Specific Requirements,INFOCOM
Putting a human face on cyberspace: designing avatars and the virtual worlds they live in (panel),SIGGRAPH
Principles of Optimally Placing Data in Tertiary Storage Libraries,VLDB
Modem floorplanning with abutment and fixed-outline constraints,ISCAS
Forum: a new approach for the production of educational content,SIGGRAPH
"Tree-Net, a multi-level fiber optics MAN",INFOCOM
"A new multiplex content"" displaying system compatible with current 3D projection technology"""" new ""multiplex content"" displaying system compatible with current 3D projection tech""""new ""multiplex content"" displaying system compatible with current 3D projection""""ew ""multiplex content"" displaying system compatible with current 3D projec""""w ""multiplex content"" displaying system compatible with current 3D pro"""" ""multiplex content"" displaying system compatible with current 3D p""""""multiplex content"" displaying system compatible with current 3D """"multiplex content"" displaying system compatible with current 3D """"ultiplex content"" displaying system compatible""""ltiplex content"" displaying s""""tiplex conten""",SIGGRAPH
MTCP: Scalable TCP-like Congestion Control for Reliable Multicast,INFOCOM
A Multi-Solution Learning Algorithm for Fuzzy Rules,ISCAS
Spatial anti-aliasing for animation sequences with spatio-temporal filtering,SIGGRAPH
Combining Subband Decomposition and Sigma Delta Modulation for Wideband A/D Conversion,ISCAS
Time-dependent three-dimensional intravascular ultrasound,SIGGRAPH
Quasi-optimal bandwidth allocation for multi-spot MFTDMA satellites,INFOCOM
"Ratio Rules: A New Paradigm for Fast, Quantifiable Data Mining",VLDB
A multiple transform based scheme for still color image compression,ISCAS
Analysis of a Mobile Cellular Systems with Hand-off Priority and Hysteresis Control,INFOCOM
Group event detection for video surveillance,ISCAS
Burroughs Network Architecture: An Overview,INFOCOM
Dynamic Load Balancing in Hierarchical Parallel Database Systems,VLDB
How to capture absolute human skeletal posture,SIGGRAPH
Position-based physics: simulating the motion of many highly interacting spheres and polyhedra,SIGGRAPH
A Distributed Adaptive Protocol Providing Real-Time Service on WDM-Based Lans,INFOCOM
Optimal Sensing-Transmission Structure for Dynamic Spectrum Access,INFOCOM
Temporal pattern learning in noisy recurrent neural networks,ISCAS
RainForest - A Framework for Fast Decision Tree Construction of Large Datasets,VLDB
IML-Inscribed Nets for Modeling Text Processing and Data (Base) Management Systems,VLDB
Parallel algorithms for physical design,ISCAS
A performance-driven analog-to-digital converter module generator,ISCAS
Using subspace analysis for event detection from web click-through data,WWW
Cellular texture generation,SIGGRAPH
Finite dimensional approximations of distributed parameter electric lines,ISCAS
Optimal Control of Arrivals to Token Ring Networks with Exhaustive Service Discipline,INFOCOM
Planetary-Scale Views on an Instant-Messaging Network,WWW
A Mapping Function for the Directory of a Multidimensional Extendible Hashing,VLDB
End-to-End Delay of Videoconferencing over Packet Switched Networks,INFOCOM
WWW 2011 invited tutorial overview: latent variable models on the internet,WWW
Hierarchical Performance Analysis Models for Data Base Systems,VLDB
Intrusion-Resilience in Mobile Unattended WSNs,INFOCOM
Selectivity Estimation Without the Attribute Value Independence Assumption,VLDB
Characterization of Statistical Multiplexing of Heterogeneous ATM Sources,INFOCOM
A multiscale model of adaptation and spatial vision for realistic image display,SIGGRAPH
Comparing apples and oranges: normalized pagerank for evolving graphs,WWW
Progressive forest split compression,SIGGRAPH
Truthy: mapping the spread of astroturf in microblog streams,WWW
Image-based diffuse lighting using visibility maps,SIGGRAPH
Analytical expressions for average bit statistics of signal lines in DSP architectures,ISCAS
Comparison between block-based and pixel-based temporal interpolation for video coding,ISCAS
A 1.85fW/bit ultra low leakage 10T SRAM with speed compensation scheme,ISCAS
Relaxing Join and Selection Queries,VLDB
Topic modeling with network regularization,WWW
The best approximation to C2 functions and its error bounds using Gaussian hidden units,ISCAS
Communications Networking - Today and Tomorrow,INFOCOM
A Plan-Operator Concept for Client-Based Knowledge Progressing,VLDB
"mediaBlocks: physical containers, transports, and controls for online media",SIGGRAPH
Improved speed and accuracy for archaeological site scanning,SIGGRAPH
Adaptive gain control for speech quality improvement and echo suppression,ISCAS
A Low-Power and Low-Complexity DCT/IDCT VLSI Architecture Based On Backward Chebyshev Recursion,ISCAS
ROVer ranch: a 3-D learning environment for K-12,SIGGRAPH
Constructing travel itineraries from tagged geo-temporal breadcrumbs,WWW
Automatically adding seam allowance to cloth pattern,SIGGRAPH
Using Switched Delay Lines for Exact Emulation of FIFO Multiplexers with Variable Length Bursts,INFOCOM
Designing a Gateway Between Teletex and OSI Networks by Means of SDL,INFOCOM
An Overload Cycle Analysis of Generalized Bandwidth Balancing for DQDB,INFOCOM
A robust approach to active queue management control in networks,ISCAS
The social honeypot project: protecting online communities from spammers,WWW
MSL Ã¢â‚¬â€ù a model for W3C XML schema,WWW
High-Linearity Calibration of Low-Resolution Digital-to-Analog Converters,ISCAS
Mining Surprising Patterns Using Temporal Description Length,VLDB
Some Less Enthusiastic Remarks on the Impact of New Technologies,VLDB
Passive 3D human motion capture,SIGGRAPH
Display of the earth taking into account atmospheric scattering,SIGGRAPH
Rendering and Visualization in Parallel Environments,SIGGRAPH
As-rigid-as-possible shape interpolation,SIGGRAPH
Some Comments on Human Archival Memory as a Very Large Data Base,VLDB
The Evolution of the Web and Implications for an Incremental Crawler,VLDB
A system for algorithm animation structures,SIGGRAPH
Supervised rank aggregation,WWW
Lossless compression for medical imaging systems using linear/non-linear prediction and arithmetic coding,ISCAS
Characterization of a large web site population with implications for content delivery,WWW
Multiresolution sampling procedure for analysis and synthesis of texture images,SIGGRAPH
A high speed 2-D DCT/IDCT processor,ISCAS
Seeing the whole in parts: text summarization for web browsing on handheld devices,WWW
Cache-Based Compaction: A New Technique for Optimizing Web Transfer,INFOCOM
The Anatomy of a Search Engine,WWW
SKETCH: an interface for sketching 3D scenes,SIGGRAPH
Evaluating strategies for similarity search on the web,WWW
"Relating Web Structure, User Search Behavior",WWW
Developing a Natural Language Interface to Complex Data,VLDB
"Linearity, Accuracy and Bandwidth Considerations in Wideband CMOS Voltage Amplifiers",ISCAS
Cellular Neural Networks: the Analogic Microprocessor?,ISCAS
Inversion of unimodular Matrices via State-Space Approach,ISCAS
Multiresolution curves,SIGGRAPH
Responsive Interaction for a Large Web Application,WWW
On mining webclick streams for path traversal patterns,WWW
Evolutionary Biperiodogram,ISCAS
Specifying Semantic Email Processes,WWW
Fast Algorithms for Mining Association Rules in Large Databases,VLDB
Algorithmic Aspects of Access Networks Design in B3G/4G Cellular Networks,INFOCOM
On-line Minimization of Call Setup Time via Load Balancing: A Stochastic Approximation Approach,INFOCOM
"Molecular Objects, Abstract Data Types, and Data Models: A Framework",VLDB
A new combined architecture for CDMA location searchers and RAKE receivers,ISCAS
Lower bounds on the MSE in Nth order mulit-bit multi-loop sigma delta modulation with DC inputs,ISCAS
Cooperative Database Design (Panel),VLDB
Circular Sailing Routing for Wireless Networks,INFOCOM
Fourier principles for emotion-based human figure animation,SIGGRAPH
User-configurable experimental design flows on the web: the ISCAS'99 experiments,ISCAS
A fast hybrid geomorphing LOD scheme,SIGGRAPH
A Realization Method of the Transfer Functions Containing Variable Parameter,ISCAS
Towards second and third generation web-based multimedia,WWW
A novel CMOS lab-on-a-chip for biomedical applications,ISCAS
View planning for BRDF acquisition,SIGGRAPH
Specifying and Enforcing Intertask Dependencies,VLDB
Error concealment for spatially Scalable Video Coding using hallucination,ISCAS
Prediction Cubes,VLDB
Mining Frequent Closed Cubes in 3D Datasets,VLDB
Motion re-estimation for HDTV to SDTV transcoding,ISCAS
An improved LS algorithm for the estimation of an impulsive noise corrupted signal by linear programming,ISCAS
An approach to alleviate link overload as observed on an IP backbone,INFOCOM
Collections of Objects in SQL3,VLDB
"Right-, left- and multi-linear rule transformations that maintain context information",VLDB
Managing Complex Objects in an Extensible Relational DBMS,VLDB
Building Scalable Internet Applications with Oracle8i Server,VLDB
Robust least mean mixed norm adaptive filtering for Ã_Â±-stable random processes,ISCAS
The Semantic Web: Semantics for Data on the Web,VLDB
Delivering Semantic Web Services,WWW
iRobot: an intelligent crawler for web forums,WWW
Impact of network delay variations on multicast sessions with TCP-like congestion control,INFOCOM
Cooperative anti-spam system based on multilayer agents,WWW
Motion pattern based video classification using support vector machines,ISCAS
RoadRunner: Towards Automatic Data Extraction from Large Web Sites,VLDB
Active Databases as a Paradigm for Enhanced Computing Environments,VLDB
Locking Protocols for Materialized Aggregate Join Views,VLDB
Subspace: secure cross-domain communication for web mashups,WWW
Towards a Framework to Effective Web-based Distributed Learning,WWW
Mesh modelling with curve analogies,SIGGRAPH
Extension Joins,VLDB
Routing resources consumption on M-arch and X-arch,ISCAS
Impact of MCMs on system performance optimization,ISCAS
Dynamic Constraints and Object Migration,VLDB
nioi caf&eacute;: olfactory display system with visual feedback,SIGGRAPH
An Efficient Method for Performing Record Deletions and Updates Using Index Scans,VLDB
Estimating the web robot population,WWW
A robust H.264 video streaming scheme for portable devices,ISCAS
L-Express-Net: A Communication Protocol for Local Area Networks,INFOCOM
Panel: getting the word out: how to publish in the 3D world,SIGGRAPH
DBMS Research at a Crossroads: The Vienna Update,VLDB
Prediction of Wood Pulp kappa# with Radial Basis Function Neural Network,ISCAS
Optimal Power Allocation in Wireless Networks with Transmitter-Receiver Power Tradeoffs,INFOCOM
Avi Pfeffer: Generalized Search Trees for Database Systems,VLDB
Expression cloning,SIGGRAPH
VLSI Implementation of Routing Tables: Tries and CAMs,INFOCOM
Framework for Multicast in Hierarchical Networks,INFOCOM
Choreography conformance via synchronizability,WWW
Academic web search engine: generating a survey automatically,WWW
Public-Key Cryptography on the Top of a Needle,ISCAS
Jitter Calculus in ATM Networks: Single Node Case,INFOCOM
"New efficient residue-to-binary converters for 4-moduli set {2n - 1, 2n, 2n + 1, 2n+1 - 1}",ISCAS
Efficiency-Quality Tradeoffs for Vector Score Aggregation,VLDB
Push Technology Personalization through Event Correlation,VLDB
The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,VLDB
Maintaining Consistency of Client-Cached Data,VLDB
Dynamic Cross-Layer Association in 802.11-Based Mesh Networks,INFOCOM
Similarity Search: A Matching Based Approach,VLDB
DSP implementation of fast FIR filtering algorithms using short FFT's,ISCAS
Combining link and content analysis to estimate semantic similarity,WWW
Anatomy of a Mudular Multiple Query Optimizer,VLDB
Diversifying landmark image search results by learning interested views from community photos,WWW
Circuit Model of Energy-Storing Transducers,ISCAS
Scale-dependent reproduction of pen-and-ink illustrations,SIGGRAPH
Optimal Energy Allocation and Admission Control for Communications Satellites,INFOCOM
Unsupervised action classification using space-time link analysis,ISCAS
A New Model for Web Crawling,WWW
The fast close-loop video transcoder with limited drifting error,ISCAS
Demographic prediction based on user's browsing behavior,WWW
Operator Scheduling in a Data Stream Manager,VLDB
Multi-user performance of Commedia dell' Arte in 3D,SIGGRAPH
A no-frills architecture for lightweight answer retrieval,WWW
The VolumePro real-time ray-casting system,SIGGRAPH
Two-dimensional layout compaction by simulated annealing,ISCAS
Object shape and reflectance modeling from observation,SIGGRAPH
The Challenge of Process Data Warehousing,VLDB
Performance Study of the NSW-IUT Bandwidth Balancing Mechanism,INFOCOM
"Faster, Higher-Quality Training of Feedforward Neural Network Models",ISCAS
Usability & human behavior analysis through real-time performance data,SIGGRAPH
Analysis of Multipath Impulse Response of Diffuse and Quasi-Diffuse Optical Links for IRR-WLAN,INFOCOM
Challenges and practices in deploying web acceleration solutions for distributed enterprise systems,WWW
Real-Time Terrain Surface Extraction at Variable Resolution,SIGGRAPH
Improved Two-Layer Coding Schemes for Motion Picture Sequences,ISCAS
Provisions and Obligations in Policy Management and Security Applications,VLDB
Optimization-based animation,SIGGRAPH
File Processing Efficiency on the Content Addressable File Store,VLDB
A four-quadrant floating-gate synapse,ISCAS
End-to-End Statistical Delay Service under GPS and EDF Scheduling: A Comparison Study,INFOCOM
Value-cognizant Speculative Concurrency Control,VLDB
Bit-depth expansion by adaptive filter,ISCAS
A Framework for Measuring and Predicting the Impact of Routing Changes,INFOCOM
Dynamics of bid optimization in online advertisement auctions,WWW
Fluid annotations through open hypermedia: using and extending emerging web standards,WWW
Efficient Algorithms for Two and Three-Layer Over-the-Cell Channel Routing,ISCAS
Interactive Composition of Semantic Web Services,WWW
Webbed spaces: between exhibition and network (panel),SIGGRAPH
Motion warping,SIGGRAPH
Towards Graph Containment Search and Indexing,VLDB
LINKREC: a unified framework for link recommendation with user attributes and graph structure,WWW
Localized Low Weight Graph and Its Applications in Wireless Ad Hoc Networks,INFOCOM
Speccast,INFOCOM
Towel: Experiences of Augmenting the Web with Journey Knowledge,WWW
Photo tourism: exploring photo collections in 3D,SIGGRAPH
Optimization and Dataflow Algorithms for Nested Tree Queries,VLDB
Coverage Problems in Wireless Ad-hoc Sensor Networks,INFOCOM
Shape from distortion: 3D range scanning of mirroring objects,SIGGRAPH
The Effectiveness of Affinity-Based Scheduling in Multiprocessor Networking,INFOCOM
Extracting news-related queries from web query log,WWW
Simultaneous Minimization of Pole and Zero Sensitivity in Digital Filter Design,ISCAS
Fast Time Sequence for Arbitrary Lp Norms,VLDB
Finding hierarchy in directed online social networks,WWW
AFilter: Adaptable XML Filtering with Prefix-Caching and Suffix-Clustering,VLDB
Statement for the Session on Impact of New Technologies,VLDB
Time analysis of large-scale circuits containing one-way macromodels,ISCAS
An investigation of best practices for interactive content controls,SIGGRAPH
Piecewise Linear Macromodels for Elementary Logic and Fuzzy Circuits,ISCAS
Pyramid-based texture analysis/synthesis,SIGGRAPH
Characterising the Use of a Campus Wireless Network,INFOCOM
Software Radios for Wireless Networking,INFOCOM
Semantic Compression and Pattern Extraction with Fascicles,VLDB
Multi-Service Search and Comparison Using the MetaCrawler,WWW
Image-based rendering: really new or dÃƒÂ©jÃƒÂ  vu? (panel),SIGGRAPH
Integration of Buffer Management and Query Optimization in Relational Database Environment,VLDB
Harmonic 3D shape matching,SIGGRAPH
Fast dynamic reranking in large graphs,WWW
Distortion Compensation of Multi-Mesfet Circuits,ISCAS
A Definition of Congestion: Applications to ATM Bandwidth Management,INFOCOM
Automated meshing of sparse 3D point clouds,SIGGRAPH
iLOC: An invisible LOCalization Attack to Internet Threat Monitoring Systems,INFOCOM
Real-time rendering of realistic rain,SIGGRAPH
Agent Communication System for Multimedia Communication Services,INFOCOM
Distance visualization of ultrascale data with explorable images,SIGGRAPH
Turning Heterogeneity into an Advantage in Overlay Routing,INFOCOM
Selectivity Estimation in Extensible Databases - A Neural Network Approach,VLDB
Visualizing web site comparisons,WWW
End-to-End Performance Modeling for Layered Communication Protocol,INFOCOM
An improved algorithm for Kohonen's self-organizing feature maps,ISCAS
"Distributed Concurrency Control Performance: A Study of Algorithms, Distribution, and Replication",VLDB
Internet Traffic Engineering without Full Mesh Overlaying,INFOCOM
Engineering and hosting adaptive freshness-sensitive web applications on data centers,WWW
SmartTunnel: Achieving Reliability in the Internet,INFOCOM
Optimization Based Rate Control for Multicast with Network Coding,INFOCOM
Painterly rendering with curved brush strokes of multiple sizes,SIGGRAPH
Visual models of plants interacting with their environment,SIGGRAPH
Some Analytic Tools for the Design of Relational Database Systems,VLDB
Learning multiple graphs for document recommendations,WWW
Vocabulary development for markup languages: a case study with maritime information,WWW
Fundamental and Secondary Issues in the Design of Non-Procedural Relational Languages,VLDB
The Design of GridDB: A Data-Centric Overlay for the Scientific Grid,VLDB
An Integrated CMOS Image-rejection Mixer System for Low-jitter Secondary Frequency References,ISCAS
Interactive control for physically-based animation,SIGGRAPH
Scalable Sweeping-Based Spatial Join,VLDB
Analysis of topic dynamics in web search,WWW
"A smooth, fast, accurate representation of reflectance",SIGGRAPH
Scaling up the semantic web: Piazza: data management infrastructure for se-mantic web applications,WWW
On the informativeness of cascade and intent-aware effectiveness measures,WWW
Digital illusion: theme park visualization,SIGGRAPH
Approaches for procedural shading on graphics hardware: Course notes,SIGGRAPH
"Art-based rendering of fur, grass, and trees",SIGGRAPH
Online Learning in Hong Kong: A Preliminary Comparison of the Lecture and Online Versions of a Computing Fundamentals Course,WWW
Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,VLDB
Merging Ranks from Heterogeneous Internet Sources,VLDB
A study on distribution network planning with considering customer's utilization of distributed generators,ISCAS
Competing for users' attention: on the interplay between organic and sponsored search results,WWW
"O-O, What Have They Done to DB2?",VLDB
Gorder: An Efficient Method for KNN Join Processing,VLDB
Architecture Level Power-Performance Tradeoffs for Pipelined Designs,ISCAS
Switch Access Architecture for Quad Voice Lines with Data On-Demand per ISDN BRI,INFOCOM
Adaptive Bandwidth Allocation by Hierarchical Control of Multiple ATM Traffic Classes,INFOCOM
Synthesizing bidirectional texture functions for real-world surfaces,SIGGRAPH
Parallelism in a Main-Memory DBMS: The Performance of PRISMA/DB,VLDB
Teaching and Learning with the WWW: Learning from the Past,WWW
A Performance Model for Peer to Peer File Sharing Services,WWW
Exploring the Shockwave engine ForgeFX: contest page,SIGGRAPH
Data Base Design by Applied Data Synthesis,VLDB
Analysis of the Link Error Monitoring Algorithms in the Signaling System Number 7 Protocol,INFOCOM
On the Synchronization of Oscillators Coupled by One Negative Resistor,ISCAS
Learning Deterministic Regular Expressions for the Inference of Schemas from XML Data,WWW
Spectral shaping of timing mismatches in time-interleaved analog-to-digital converters,ISCAS
A Target Logical Schema: The ACS,VLDB
Explicit Window Adaptation: A Method to Enhance TCP Performance,INFOCOM
Khronos projector,SIGGRAPH
Semantic analytics on social networks: experiences in addressing the problem of conflict of interest detection,WWW
Admission Control for Booking Ahead Shared Resources,INFOCOM
Databases for Expert Systems,VLDB
Mobile Data Gathering with Space-Division Multiple Access in Wireless Sensor Networks,INFOCOM
A Study of Three Alternative Workstation-Server Architectures for Object Oriented Database Systems,VLDB
Opinion integration through semi-supervised topic modeling,WWW
Q'he postgres storage system,VLDB
Automated Alignment of Multiple Internet Directories,WWW
Adaptive Predicate Managers in Database Systems,VLDB
Automatic Web Services Composition Using SHOP2,WWW
MAPS: multiresolution adaptive parameterization of surfaces,SIGGRAPH
Asymptotic Qualitative Analysis of a Packet-Switched Virtual Circuit Network,INFOCOM
More than two orders of magnitude leakage current reduction in look-up table for FPGAs,ISCAS
Performance Evaluation of Cell Bypass Queueing Discipline for Buffered Banyan Type ATM Switches,INFOCOM
Head-mounted photometric stereo for performance capture,SIGGRAPH
Simulated annealing of neural networks: The 'cooling' strategy reconsidered,ISCAS
A Generalized Framework for Analyzing Time-Space Switched Optical Networks,INFOCOM
Radial Basis Function Neural Network as Predictive Process Control Model,ISCAS
ServiceGlobe: Distributing E-Services Across the Internet,VLDB
Data Warehouse Configuration,VLDB
Implementation Techniques of Complex Objects,VLDB
Asymptotic Stability of Linear Shift-Variant Difference Equations with Diamond-Shaped Uncertainties,ISCAS
Answering approximate queries over autonomous web databases,WWW
Reverse kNN Search in Arbitrary Dimensionality,VLDB
CheckSyC: an efficient property checker for RTL SystemC designs,ISCAS
A unified platform for data driven web applications with automatic client-server partitioning,WWW
Effective Replica Allocation in Ad Hoc Networks for Improving Data Accessibility,INFOCOM
Measurement and Analysis of Long-Range Dependent Behavior of Internet Packet Delay,INFOCOM
Query Optimization in the Presence of Foreign Functions,VLDB
Choke: a stateless aqm scheme for approximating fair bandwidth allocation,INFOCOM
New insights from a fixed point analysis of single cell IEEE 802.11 WLANs,INFOCOM
Modeling Web Site Structure in UriGraph,WWW
An efficient representation of non-stationary signals using wavelets and mixed-transforms,ISCAS
Fast Evaluation Techniques for Complex Similarity Queries,VLDB
A mixed-signal tuning approach for continuous-time LPFs,ISCAS
"Design, Implementation and Performance of a Content-Based Switch",INFOCOM
Lossy transformation technique applied to the synthesis of multidimensional lossless filters,ISCAS
Beyond Routing: An Algebraic Approach to Network Coding,INFOCOM
MV routing and capacity building in disruption tolerant networks,INFOCOM
Heavy tailed M/G/1-PS queues with impatience and admission control in packet networks,INFOCOM
Learning transportation mode from raw gps data for geographic applications on the web,WWW
The space of human body shapes: reconstruction and parameterization from range scans,SIGGRAPH
Downlink Optimization of Indoor Wireless Networks Using Multiple Antenna Systems,INFOCOM
Texture mapping for cel animation,SIGGRAPH
"Thermal-aware system-level modeling and management for Multi-Processor	Systems-on-Chip",ISCAS
Self Organizing Hierarchical Multicast Trees and Their Optimization,INFOCOM
Inferring TCP Connection Characteristics from Passive Measurements,INFOCOM
Video suggestion and discovery for youtube: taking random walks through the view graph,WWW
Adaptive joint playout buffer and FEC adjustement for Internet Telephony,INFOCOM
"An almost always polynomial time algorithm for the (Ã_Â±, Ã_Â_)-cover problem in bipartite graphs",ISCAS
Controlling access to published data using cryptography,VLDB
Issues in Distributed Database Management Systems: A Technical Overview,VLDB
Performance Analysis of Slotted Replication ALOHA Over Fading Communications Channels,INFOCOM
A search algorithm for the design of multinested cellular neural networks,ISCAS
Effort-limited Fair (ELF) Scheduling for Wireless Networks,INFOCOM
Parallel memristors: Improving variation tolerance in memristive digital circuits,ISCAS
Generalized Hash Teams for Join and Group-by,VLDB
Preliminary Design of ADMSÃ‚Â±: A Workstation-Mainframe Integrated Architecture for Database Management Systems,VLDB
"Simple models of network access, with applications to the design of joint rate and admission control",INFOCOM
Fast computation of shadow boundaries using spatial coherence and backprojections,SIGGRAPH
Security and Privacy,VLDB
"Modeling the motion of a hot, turbulent gas",SIGGRAPH
Video segmentation with motion smoothness,SIGGRAPH
System Design Using Wave-Pipelining: A CMOS VLSI Vector Unit,ISCAS
1000 years of the olympic games: treasures of ancient Greece. digital reconstruction at the home of the gods,WWW
Using proxy cache relocation to accelerate Web browsing in wireless/mobile communications,WWW
A Formal Approach To Pipeline Optimization in Synthesis of Digital Signal Processors with Fine Grain Parallelism,ISCAS
Enabling Technologies in Drug Delivery and Clinical Care,ISCAS
Multivalued Neural Associative Memory,ISCAS
Image-based procedural modeling of facades,SIGGRAPH
Optimization of LNS Operations for Embedded Signal Processing Applications,ISCAS
A Tool for Individualizing the Web,WWW
FLUX: fuzzy content and structure matching of XML range queries,WWW
Measurement based optimal multi-path routing,INFOCOM
Speech pitch detection in noisy environment using multi-rate adaptive lossless FIR filters,ISCAS
The clipmap: a virtual mipmap,SIGGRAPH
Complex domain flexible non-linear function for blind signal separation,ISCAS
Steady-Stae Analysis of a Second-Order Adaptive IIR Notch Filter Using the Sign Algorithm,ISCAS
Fully adaptive pinning control of complex networks,ISCAS
Performance Evaluation of Crossover Switch Discovery Algorithms for Wireless ATM LANs,INFOCOM
Piazza: Data Management Infrastructure for Semantic Web,WWW
Synthesizing sounds from physically based motion,SIGGRAPH
Estimation of Capacitive Crosstalk-Induced Short-Circuit Energy,ISCAS
A Web Site Navigation Engine,WWW
Multihop Lightwave Networks: A Comparison of Store-and-Forward and Hot-Potato Routing,INFOCOM
Responsive Visualisation - A Tool for Analog Designers,ISCAS
A Programmable 3-V CMOS Rail-to-Rail Op Amp with Gain Boosting for Driving Heavy Resistive Loads,ISCAS
A low voltage class AB CMOS amplifier,ISCAS
Generating Device Optimized and Individualized Content for WAP Applications,WWW
Bowen virtual theater,SIGGRAPH
Mining Insurance Data at Swiss Life,VLDB
Textures and radiosity: controlling emission and reflection with texture maps,SIGGRAPH
An open-source based DSP with enhanced multimedia-processing capacity for embedded applications,ISCAS
Analysis and compensation of nonlinearity mismatches in time-interleaved ADC arrays,ISCAS
Automatic Data Base Schema Design and Optimization,VLDB
YouServ: a web-hosting and content sharing tool for the masses,WWW
Compensating Networks for Sliding-Mode Control,ISCAS
Utility analysis for topically biased PageRank,WWW
Interactive Walkthroughs of Large Geometric Datasets,SIGGRAPH
High-Speed Division Algorithm for Residue Number System,ISCAS
Stochastically Bounded Burstiness for Communication Networks,INFOCOM
A Multidatabase System for Tracking and Retrieval of Financial Data,VLDB
Schema Evolution in Object Databases: Measuring the Performance of Immediate and Deferred Updates,VLDB
"Atmospheric illumination and shadows computer graphics 20""""tmospheric illuminati""",SIGGRAPH
Developing a New Resource for Visually Impaired People,WWW
Efficient allocation of power of two terms in FIR digital filter design using tabu search,ISCAS
Automating gait generation,SIGGRAPH
On Line Processing of Compacted Relations,VLDB
Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,VLDB
"An infrastructure for searching, reusing and evolving distributed ontologies",WWW
Hybrid semantic tagging for information extraction,WWW
A Multi-Resolution Relational Data Model,VLDB
Recursive Strategies for Answering Recursive Queries - The RQA/FQI Strategy,VLDB
A simple and efficient error-diffusion algorithm,SIGGRAPH
Computer graphics as a way of life,SIGGRAPH
Semantic Integrity Dependencies and Delayed Integrity Checking,VLDB
A BiCMOS Dynamic Divider Circuit Using a Restoring Iterative Architecture with Carry Look Ahead for CPU VLSI,ISCAS
Learning to rank relational objects and its application to web search,WWW
The anatomy of a large-scale Web search engine,WWW
How to Select a Good Alternate Path in Large Peer-to-Peer Systems?,INFOCOM
Aggregate-Query Processing in Data Warehousing Environments,VLDB
Experiences With an Object Manager for a Process-Centered Environment,VLDB
A Theoretical Analysis of Split Delta-Sigma ADCs,ISCAS
Interactive image search by 2D semantic map,WWW
Freeze-TCP: A True End-to-End TCP Enhancement Mechanism for Mobile Environments,INFOCOM
Collaborative Blog Spam Filtering Using Adaptive Percolation Search,WWW
